State/UT,Sub-Health Centres (SHCs),Primary Health Centres (PHCs),District Hospitals
Andaman and Nicobar Isalnds,124,27,2
Andhra Pradesh,11480,1689,17
Arunachal Pradesh,367,131,19
Assam,4701,1010,25
Bihar,10399,1760,36
Chandigarh,0,43,1
Chhattisgarh,5494,822,27
Dadra and Nagar Haveli and Daman and Diu,97,14,2
Delhi,14,550,40
Goa,219,28,2
Gujarat,9132,1804,20
Haryana,2653,497,22
Himachal Pradesh,2115,570,9
Jammu and Kashmir,2471,973,15
Jharkhand,3848,361,21
Karnataka,9272,2521,16
Kerala,5412,944,48
Ladakh,288,33,2
Lakshadweep,9,4,1
Madhya Pradesh,10287,1572,52
Maharashtra,10673,2539,23
Manipur,416,95,7
Meghalaya,459,147,11
Mizoram,373,66,12
Nagaland,452,136,12
Odisha,6688,1393,32
Puducherry,81,39,4
Punjab,2951,522,23
Rajasthan,13589,2409,30
Sikkim,153,26,4
Tamil Nadu,8713,1886,20
Telangana,4910,834,5
Tripura,1000,117,7
Uttarakhand,1851,607,13
Uttar Pradesh,20781,3513,169
West Bengal,10357,1371,18
Total,161829,31053,767
