date,phc_id,medicine_id,stock,minimum_stock,maximum_stock
2026-03-01,PHC001,MED001,860,210,1470
2026-03-02,PHC001,MED001,817,210,1470
2026-03-03,PHC001,MED001,773,210,1470
2026-03-04,PHC001,MED001,741,210,1470
2026-03-05,PHC001,MED001,715,210,1470
2026-03-06,PHC001,MED001,684,210,1470
2026-03-07,PHC001,MED001,636,210,1470
2026-03-08,PHC001,MED001,610,210,1470
2026-03-09,PHC001,MED001,558,210,1470
2026-03-10,PHC001,MED001,515,210,1470
2026-03-11,PHC001,MED001,463,210,1470
2026-03-12,PHC001,MED001,421,210,1470
2026-03-13,PHC001,MED001,380,210,1470
2026-03-14,PHC001,MED001,335,210,1470
2026-03-15,PHC001,MED001,313,210,1470
2026-03-16,PHC001,MED001,252,210,1470
2026-03-17,PHC001,MED001,198,210,1470
2026-03-18,PHC001,MED001,150,210,1470
2026-03-19,PHC001,MED001,103,210,1470
2026-03-20,PHC001,MED001,61,210,1470
2026-03-21,PHC001,MED001,1292,210,1470
2026-03-22,PHC001,MED001,1265,210,1470
2026-03-23,PHC001,MED001,1225,210,1470
2026-03-24,PHC001,MED001,1176,210,1470
2026-03-25,PHC001,MED001,1130,210,1470
2026-03-26,PHC001,MED001,1079,210,1470
2026-03-27,PHC001,MED001,1026,210,1470
2026-03-28,PHC001,MED001,982,210,1470
2026-03-29,PHC001,MED001,954,210,1470
2026-03-30,PHC001,MED001,907,210,1470
2026-03-31,PHC001,MED001,861,210,1470
2026-04-01,PHC001,MED001,817,210,1470
2026-04-02,PHC001,MED001,771,210,1470
2026-04-03,PHC001,MED001,717,210,1470
2026-04-04,PHC001,MED001,670,210,1470
2026-04-05,PHC001,MED001,637,210,1470
2026-04-06,PHC001,MED001,591,210,1470
2026-04-07,PHC001,MED001,541,210,1470
2026-04-08,PHC001,MED001,490,210,1470
2026-04-09,PHC001,MED001,444,210,1470
2026-04-10,PHC001,MED001,393,210,1470
2026-04-11,PHC001,MED001,350,210,1470
2026-04-12,PHC001,MED001,326,210,1470
2026-04-13,PHC001,MED001,253,210,1470
2026-04-14,PHC001,MED001,208,210,1470
2026-04-15,PHC001,MED001,167,210,1470
2026-04-16,PHC001,MED001,120,210,1470
2026-04-17,PHC001,MED001,76,210,1470
2026-04-18,PHC001,MED001,1298,210,1470
2026-04-19,PHC001,MED001,1269,210,1470
2026-04-20,PHC001,MED001,1215,210,1470
2026-04-21,PHC001,MED001,1158,210,1470
2026-04-22,PHC001,MED001,1100,210,1470
2026-04-23,PHC001,MED001,1057,210,1470
2026-04-24,PHC001,MED001,1018,210,1470
2026-04-25,PHC001,MED001,966,210,1470
2026-04-26,PHC001,MED001,933,210,1470
2026-04-27,PHC001,MED001,876,210,1470
2026-04-28,PHC001,MED001,826,210,1470
2026-04-29,PHC001,MED001,786,210,1470
2026-04-30,PHC001,MED001,739,210,1470
2026-05-01,PHC001,MED001,693,210,1470
2026-05-02,PHC001,MED001,645,210,1470
2026-05-03,PHC001,MED001,625,210,1470
2026-05-04,PHC001,MED001,576,210,1470
2026-05-05,PHC001,MED001,524,210,1470
2026-05-06,PHC001,MED001,488,210,1470
2026-05-07,PHC001,MED001,443,210,1470
2026-05-08,PHC001,MED001,396,210,1470
2026-05-09,PHC001,MED001,354,210,1470
2026-05-10,PHC001,MED001,325,210,1470
2026-05-11,PHC001,MED001,271,210,1470
2026-05-12,PHC001,MED001,218,210,1470
2026-05-13,PHC001,MED001,198,210,1470
2026-05-14,PHC001,MED001,162,210,1470
2026-05-15,PHC001,MED001,114,210,1470
2026-05-16,PHC001,MED001,79,210,1470
2026-05-17,PHC001,MED001,1313,210,1470
2026-05-18,PHC001,MED001,1267,210,1470
2026-05-19,PHC001,MED001,1226,210,1470
2026-05-20,PHC001,MED001,1194,210,1470
2026-05-21,PHC001,MED001,1154,210,1470
2026-05-22,PHC001,MED001,1109,210,1470
2026-05-23,PHC001,MED001,1073,210,1470
2026-05-24,PHC001,MED001,1045,210,1470
2026-05-25,PHC001,MED001,990,210,1470
2026-05-26,PHC001,MED001,954,210,1470
2026-05-27,PHC001,MED001,901,210,1470
2026-05-28,PHC001,MED001,865,210,1470
2026-05-29,PHC001,MED001,832,210,1470
2026-05-30,PHC001,MED001,783,210,1470
2026-05-31,PHC001,MED001,755,210,1470
2026-06-01,PHC001,MED001,705,210,1470
2026-06-02,PHC001,MED001,663,210,1470
2026-06-03,PHC001,MED001,619,210,1470
2026-06-04,PHC001,MED001,587,210,1470
2026-06-05,PHC001,MED001,535,210,1470
2026-06-06,PHC001,MED001,505,210,1470
2026-06-07,PHC001,MED001,476,210,1470
2026-06-08,PHC001,MED001,431,210,1470
2026-06-09,PHC001,MED001,393,210,1470
2026-06-10,PHC001,MED001,341,210,1470
2026-06-11,PHC001,MED001,296,210,1470
2026-06-12,PHC001,MED001,256,210,1470
2026-06-13,PHC001,MED001,225,210,1470
2026-06-14,PHC001,MED001,198,210,1470
2026-06-15,PHC001,MED001,143,210,1470
2026-06-16,PHC001,MED001,94,210,1470
2026-06-17,PHC001,MED001,59,210,1470
2026-06-18,PHC001,MED001,1301,210,1470
2026-06-19,PHC001,MED001,1267,210,1470
2026-06-20,PHC001,MED001,1227,210,1470
2026-06-21,PHC001,MED001,1207,210,1470
2026-06-22,PHC001,MED001,1173,210,1470
2026-06-23,PHC001,MED001,1145,210,1470
2026-06-24,PHC001,MED001,1109,210,1470
2026-06-25,PHC001,MED001,1069,210,1470
2026-06-26,PHC001,MED001,1031,210,1470
2026-06-27,PHC001,MED001,995,210,1470
2026-06-28,PHC001,MED001,975,210,1470
2026-06-29,PHC001,MED001,920,210,1470
2026-06-30,PHC001,MED001,879,210,1470
2026-07-01,PHC001,MED001,844,210,1470
2026-07-02,PHC001,MED001,816,210,1470
2026-07-03,PHC001,MED001,780,210,1470
2026-07-04,PHC001,MED001,736,210,1470
2026-07-05,PHC001,MED001,706,210,1470
2026-07-06,PHC001,MED001,665,210,1470
2026-07-07,PHC001,MED001,626,210,1470
2026-07-08,PHC001,MED001,571,210,1470
2026-07-09,PHC001,MED001,537,210,1470
2026-07-10,PHC001,MED001,487,210,1470
2026-07-11,PHC001,MED001,455,210,1470
2026-07-12,PHC001,MED001,425,210,1470
2026-07-13,PHC001,MED001,381,210,1470
2026-07-14,PHC001,MED001,341,210,1470
2026-07-15,PHC001,MED001,310,210,1470
2026-07-16,PHC001,MED001,281,210,1470
2026-07-17,PHC001,MED001,258,210,1470
2026-07-18,PHC001,MED001,222,210,1470
2026-07-19,PHC001,MED001,199,210,1470
2026-07-20,PHC001,MED001,155,210,1470
2026-07-21,PHC001,MED001,119,210,1470
2026-07-22,PHC001,MED001,80,210,1470
2026-07-23,PHC001,MED001,1313,210,1470
2026-07-24,PHC001,MED001,1288,210,1470
2026-07-25,PHC001,MED001,1248,210,1470
2026-07-26,PHC001,MED001,1231,210,1470
2026-07-27,PHC001,MED001,1161,210,1470
2026-07-28,PHC001,MED001,1121,210,1470
2026-07-29,PHC001,MED001,1084,210,1470
2026-07-30,PHC001,MED001,1054,210,1470
2026-07-31,PHC001,MED001,1020,210,1470
2026-08-01,PHC001,MED001,978,210,1470
2026-08-02,PHC001,MED001,953,210,1470
2026-08-03,PHC001,MED001,914,210,1470
2026-08-04,PHC001,MED001,874,210,1470
2026-08-05,PHC001,MED001,836,210,1470
2026-08-06,PHC001,MED001,800,210,1470
2026-08-07,PHC001,MED001,770,210,1470
2026-08-08,PHC001,MED001,729,210,1470
2026-08-09,PHC001,MED001,704,210,1470
2026-08-10,PHC001,MED001,663,210,1470
2026-08-11,PHC001,MED001,628,210,1470
2026-08-12,PHC001,MED001,594,210,1470
2026-08-13,PHC001,MED001,554,210,1470
2026-08-14,PHC001,MED001,510,210,1470
2026-08-15,PHC001,MED001,470,210,1470
2026-08-16,PHC001,MED001,440,210,1470
2026-08-17,PHC001,MED001,394,210,1470
2026-08-18,PHC001,MED001,366,210,1470
2026-08-19,PHC001,MED001,316,210,1470
2026-08-20,PHC001,MED001,278,210,1470
2026-08-21,PHC001,MED001,246,210,1470
2026-08-22,PHC001,MED001,206,210,1470
2026-08-23,PHC001,MED001,181,210,1470
2026-08-24,PHC001,MED001,140,210,1470
2026-08-25,PHC001,MED001,87,210,1470
2026-08-26,PHC001,MED001,1306,210,1470
2026-08-27,PHC001,MED001,1257,210,1470
2026-03-01,PHC001,MED002,428,87,612
2026-03-02,PHC001,MED002,415,87,612
2026-03-03,PHC001,MED002,399,87,612
2026-03-04,PHC001,MED002,382,87,612
2026-03-05,PHC001,MED002,371,87,612
2026-03-06,PHC001,MED002,354,87,612
2026-03-07,PHC001,MED002,336,87,612
2026-03-08,PHC001,MED002,325,87,612
2026-03-09,PHC001,MED002,303,87,612
2026-03-10,PHC001,MED002,286,87,612
2026-03-11,PHC001,MED002,268,87,612
2026-03-12,PHC001,MED002,248,87,612
2026-03-13,PHC001,MED002,234,87,612
2026-03-14,PHC001,MED002,217,87,612
2026-03-15,PHC001,MED002,205,87,612
2026-03-16,PHC001,MED002,180,87,612
2026-03-17,PHC001,MED002,165,87,612
2026-03-18,PHC001,MED002,152,87,612
2026-03-19,PHC001,MED002,133,87,612
2026-03-20,PHC001,MED002,119,87,612
2026-03-21,PHC001,MED002,104,87,612
2026-03-22,PHC001,MED002,89,87,612
2026-03-23,PHC001,MED002,68,87,612
2026-03-24,PHC001,MED002,54,87,612
2026-03-25,PHC001,MED002,40,87,612
2026-03-26,PHC001,MED002,20,87,612
2026-03-27,PHC001,MED002,1,87,612
2026-03-28,PHC001,MED002,0,87,612
2026-03-29,PHC001,MED002,531,87,612
2026-03-30,PHC001,MED002,510,87,612
2026-03-31,PHC001,MED002,492,87,612
2026-04-01,PHC001,MED002,476,87,612
2026-04-02,PHC001,MED002,467,87,612
2026-04-03,PHC001,MED002,453,87,612
2026-04-04,PHC001,MED002,434,87,612
2026-04-05,PHC001,MED002,422,87,612
2026-04-06,PHC001,MED002,399,87,612
2026-04-07,PHC001,MED002,382,87,612
2026-04-08,PHC001,MED002,363,87,612
2026-04-09,PHC001,MED002,341,87,612
2026-04-10,PHC001,MED002,325,87,612
2026-04-11,PHC001,MED002,307,87,612
2026-04-12,PHC001,MED002,298,87,612
2026-04-13,PHC001,MED002,269,87,612
2026-04-14,PHC001,MED002,250,87,612
2026-04-15,PHC001,MED002,233,87,612
2026-04-16,PHC001,MED002,207,87,612
2026-04-17,PHC001,MED002,183,87,612
2026-04-18,PHC001,MED002,165,87,612
2026-04-19,PHC001,MED002,152,87,612
2026-04-20,PHC001,MED002,135,87,612
2026-04-21,PHC001,MED002,112,87,612
2026-04-22,PHC001,MED002,92,87,612
2026-04-23,PHC001,MED002,77,87,612
2026-04-24,PHC001,MED002,55,87,612
2026-04-25,PHC001,MED002,36,87,612
2026-04-26,PHC001,MED002,21,87,612
2026-04-27,PHC001,MED002,0,87,612
2026-04-28,PHC001,MED002,0,87,612
2026-04-29,PHC001,MED002,514,87,612
2026-04-30,PHC001,MED002,497,87,612
2026-05-01,PHC001,MED002,482,87,612
2026-05-02,PHC001,MED002,465,87,612
2026-05-03,PHC001,MED002,451,87,612
2026-05-04,PHC001,MED002,426,87,612
2026-05-05,PHC001,MED002,411,87,612
2026-05-06,PHC001,MED002,395,87,612
2026-05-07,PHC001,MED002,385,87,612
2026-05-08,PHC001,MED002,369,87,612
2026-05-09,PHC001,MED002,357,87,612
2026-05-10,PHC001,MED002,344,87,612
2026-05-11,PHC001,MED002,322,87,612
2026-05-12,PHC001,MED002,307,87,612
2026-05-13,PHC001,MED002,290,87,612
2026-05-14,PHC001,MED002,278,87,612
2026-05-15,PHC001,MED002,260,87,612
2026-05-16,PHC001,MED002,245,87,612
2026-05-17,PHC001,MED002,233,87,612
2026-05-18,PHC001,MED002,214,87,612
2026-05-19,PHC001,MED002,196,87,612
2026-05-20,PHC001,MED002,181,87,612
2026-05-21,PHC001,MED002,163,87,612
2026-05-22,PHC001,MED002,145,87,612
2026-05-23,PHC001,MED002,131,87,612
2026-05-24,PHC001,MED002,118,87,612
2026-05-25,PHC001,MED002,94,87,612
2026-05-26,PHC001,MED002,76,87,612
2026-05-27,PHC001,MED002,57,87,612
2026-05-28,PHC001,MED002,44,87,612
2026-05-29,PHC001,MED002,29,87,612
2026-05-30,PHC001,MED002,9,87,612
2026-05-31,PHC001,MED002,0,87,612
2026-06-01,PHC001,MED002,512,87,612
2026-06-02,PHC001,MED002,496,87,612
2026-06-03,PHC001,MED002,476,87,612
2026-06-04,PHC001,MED002,459,87,612
2026-06-05,PHC001,MED002,437,87,612
2026-06-06,PHC001,MED002,429,87,612
2026-06-07,PHC001,MED002,418,87,612
2026-06-08,PHC001,MED002,401,87,612
2026-06-09,PHC001,MED002,387,87,612
2026-06-10,PHC001,MED002,370,87,612
2026-06-11,PHC001,MED002,355,87,612
2026-06-12,PHC001,MED002,335,87,612
2026-06-13,PHC001,MED002,315,87,612
2026-06-14,PHC001,MED002,309,87,612
2026-06-15,PHC001,MED002,290,87,612
2026-06-16,PHC001,MED002,271,87,612
2026-06-17,PHC001,MED002,255,87,612
2026-06-18,PHC001,MED002,242,87,612
2026-06-19,PHC001,MED002,231,87,612
2026-06-20,PHC001,MED002,214,87,612
2026-06-21,PHC001,MED002,202,87,612
2026-06-22,PHC001,MED002,182,87,612
2026-06-23,PHC001,MED002,166,87,612
2026-06-24,PHC001,MED002,153,87,612
2026-06-25,PHC001,MED002,136,87,612
2026-06-26,PHC001,MED002,121,87,612
2026-06-27,PHC001,MED002,104,87,612
2026-06-28,PHC001,MED002,93,87,612
2026-06-29,PHC001,MED002,76,87,612
2026-06-30,PHC001,MED002,62,87,612
2026-07-01,PHC001,MED002,50,87,612
2026-07-02,PHC001,MED002,32,87,612
2026-07-03,PHC001,MED002,15,87,612
2026-07-04,PHC001,MED002,1,87,612
2026-07-05,PHC001,MED002,525,87,612
2026-07-06,PHC001,MED002,512,87,612
2026-07-07,PHC001,MED002,494,87,612
2026-07-08,PHC001,MED002,475,87,612
2026-07-09,PHC001,MED002,460,87,612
2026-07-10,PHC001,MED002,441,87,612
2026-07-11,PHC001,MED002,427,87,612
2026-07-12,PHC001,MED002,418,87,612
2026-07-13,PHC001,MED002,402,87,612
2026-07-14,PHC001,MED002,388,87,612
2026-07-15,PHC001,MED002,375,87,612
2026-07-16,PHC001,MED002,359,87,612
2026-07-17,PHC001,MED002,346,87,612
2026-07-18,PHC001,MED002,329,87,612
2026-07-19,PHC001,MED002,318,87,612
2026-07-20,PHC001,MED002,301,87,612
2026-07-21,PHC001,MED002,289,87,612
2026-07-22,PHC001,MED002,273,87,612
2026-07-23,PHC001,MED002,257,87,612
2026-07-24,PHC001,MED002,243,87,612
2026-07-25,PHC001,MED002,230,87,612
2026-07-26,PHC001,MED002,221,87,612
2026-07-27,PHC001,MED002,194,87,612
2026-07-28,PHC001,MED002,184,87,612
2026-07-29,PHC001,MED002,168,87,612
2026-07-30,PHC001,MED002,155,87,612
2026-07-31,PHC001,MED002,142,87,612
2026-08-01,PHC001,MED002,124,87,612
2026-08-02,PHC001,MED002,115,87,612
2026-08-03,PHC001,MED002,91,87,612
2026-08-04,PHC001,MED002,71,87,612
2026-08-05,PHC001,MED002,56,87,612
2026-08-06,PHC001,MED002,40,87,612
2026-08-07,PHC001,MED002,29,87,612
2026-08-08,PHC001,MED002,15,87,612
2026-08-09,PHC001,MED002,7,87,612
2026-08-10,PHC001,MED002,522,87,612
2026-08-11,PHC001,MED002,507,87,612
2026-08-12,PHC001,MED002,492,87,612
2026-08-13,PHC001,MED002,479,87,612
2026-08-14,PHC001,MED002,465,87,612
2026-08-15,PHC001,MED002,450,87,612
2026-08-16,PHC001,MED002,440,87,612
2026-08-17,PHC001,MED002,410,87,612
2026-08-18,PHC001,MED002,398,87,612
2026-08-19,PHC001,MED002,383,87,612
2026-08-20,PHC001,MED002,364,87,612
2026-08-21,PHC001,MED002,344,87,612
2026-08-22,PHC001,MED002,326,87,612
2026-08-23,PHC001,MED002,316,87,612
2026-08-24,PHC001,MED002,296,87,612
2026-08-25,PHC001,MED002,278,87,612
2026-08-26,PHC001,MED002,259,87,612
2026-08-27,PHC001,MED002,243,87,612
2026-03-01,PHC001,MED003,398,70,490
2026-03-02,PHC001,MED003,385,70,490
2026-03-03,PHC001,MED003,369,70,490
2026-03-04,PHC001,MED003,356,70,490
2026-03-05,PHC001,MED003,345,70,490
2026-03-06,PHC001,MED003,332,70,490
2026-03-07,PHC001,MED003,318,70,490
2026-03-08,PHC001,MED003,309,70,490
2026-03-09,PHC001,MED003,291,70,490
2026-03-10,PHC001,MED003,282,70,490
2026-03-11,PHC001,MED003,271,70,490
2026-03-12,PHC001,MED003,255,70,490
2026-03-13,PHC001,MED003,243,70,490
2026-03-14,PHC001,MED003,227,70,490
2026-03-15,PHC001,MED003,217,70,490
2026-03-16,PHC001,MED003,199,70,490
2026-03-17,PHC001,MED003,184,70,490
2026-03-18,PHC001,MED003,171,70,490
2026-03-19,PHC001,MED003,157,70,490
2026-03-20,PHC001,MED003,144,70,490
2026-03-21,PHC001,MED003,134,70,490
2026-03-22,PHC001,MED003,124,70,490
2026-03-23,PHC001,MED003,106,70,490
2026-03-24,PHC001,MED003,96,70,490
2026-03-25,PHC001,MED003,84,70,490
2026-03-26,PHC001,MED003,70,70,490
2026-03-27,PHC001,MED003,52,70,490
2026-03-28,PHC001,MED003,39,70,490
2026-03-29,PHC001,MED003,30,70,490
2026-03-30,PHC001,MED003,17,70,490
2026-03-31,PHC001,MED003,0,70,490
2026-04-01,PHC001,MED003,0,70,490
2026-04-02,PHC001,MED003,404,70,490
2026-04-03,PHC001,MED003,388,70,490
2026-04-04,PHC001,MED003,371,70,490
2026-04-05,PHC001,MED003,361,70,490
2026-04-06,PHC001,MED003,345,70,490
2026-04-07,PHC001,MED003,330,70,490
2026-04-08,PHC001,MED003,315,70,490
2026-04-09,PHC001,MED003,296,70,490
2026-04-10,PHC001,MED003,283,70,490
2026-04-11,PHC001,MED003,270,70,490
2026-04-12,PHC001,MED003,259,70,490
2026-04-13,PHC001,MED003,235,70,490
2026-04-14,PHC001,MED003,220,70,490
2026-04-15,PHC001,MED003,209,70,490
2026-04-16,PHC001,MED003,193,70,490
2026-04-17,PHC001,MED003,178,70,490
2026-04-18,PHC001,MED003,160,70,490
2026-04-19,PHC001,MED003,150,70,490
2026-04-20,PHC001,MED003,129,70,490
2026-04-21,PHC001,MED003,111,70,490
2026-04-22,PHC001,MED003,97,70,490
2026-04-23,PHC001,MED003,78,70,490
2026-04-24,PHC001,MED003,60,70,490
2026-04-25,PHC001,MED003,42,70,490
2026-04-26,PHC001,MED003,31,70,490
2026-04-27,PHC001,MED003,6,70,490
2026-04-28,PHC001,MED003,0,70,490
2026-04-29,PHC001,MED003,0,70,490
2026-04-30,PHC001,MED003,0,70,490
2026-05-01,PHC001,MED003,417,70,490
2026-05-02,PHC001,MED003,402,70,490
2026-05-03,PHC001,MED003,391,70,490
2026-05-04,PHC001,MED003,364,70,490
2026-05-05,PHC001,MED003,351,70,490
2026-05-06,PHC001,MED003,339,70,490
2026-05-07,PHC001,MED003,327,70,490
2026-05-08,PHC001,MED003,317,70,490
2026-05-09,PHC001,MED003,308,70,490
2026-05-10,PHC001,MED003,298,70,490
2026-05-11,PHC001,MED003,282,70,490
2026-05-12,PHC001,MED003,265,70,490
2026-05-13,PHC001,MED003,248,70,490
2026-05-14,PHC001,MED003,236,70,490
2026-05-15,PHC001,MED003,218,70,490
2026-05-16,PHC001,MED003,204,70,490
2026-05-17,PHC001,MED003,192,70,490
2026-05-18,PHC001,MED003,176,70,490
2026-05-19,PHC001,MED003,162,70,490
2026-05-20,PHC001,MED003,152,70,490
2026-05-21,PHC001,MED003,138,70,490
2026-05-22,PHC001,MED003,126,70,490
2026-05-23,PHC001,MED003,114,70,490
2026-05-24,PHC001,MED003,103,70,490
2026-05-25,PHC001,MED003,85,70,490
2026-05-26,PHC001,MED003,72,70,490
2026-05-27,PHC001,MED003,54,70,490
2026-05-28,PHC001,MED003,42,70,490
2026-05-29,PHC001,MED003,33,70,490
2026-05-30,PHC001,MED003,20,70,490
2026-05-31,PHC001,MED003,10,70,490
2026-06-01,PHC001,MED003,0,70,490
2026-06-02,PHC001,MED003,0,70,490
2026-06-03,PHC001,MED003,425,70,490
2026-06-04,PHC001,MED003,410,70,490
2026-06-05,PHC001,MED003,396,70,490
2026-06-06,PHC001,MED003,385,70,490
2026-06-07,PHC001,MED003,374,70,490
2026-06-08,PHC001,MED003,359,70,490
2026-06-09,PHC001,MED003,347,70,490
2026-06-10,PHC001,MED003,334,70,490
2026-06-11,PHC001,MED003,322,70,490
2026-06-12,PHC001,MED003,311,70,490
2026-06-13,PHC001,MED003,299,70,490
2026-06-14,PHC001,MED003,289,70,490
2026-06-15,PHC001,MED003,273,70,490
2026-06-16,PHC001,MED003,256,70,490
2026-06-17,PHC001,MED003,245,70,490
2026-06-18,PHC001,MED003,236,70,490
2026-06-19,PHC001,MED003,226,70,490
2026-06-20,PHC001,MED003,209,70,490
2026-06-21,PHC001,MED003,200,70,490
2026-06-22,PHC001,MED003,187,70,490
2026-06-23,PHC001,MED003,174,70,490
2026-06-24,PHC001,MED003,162,70,490
2026-06-25,PHC001,MED003,149,70,490
2026-06-26,PHC001,MED003,134,70,490
2026-06-27,PHC001,MED003,123,70,490
2026-06-28,PHC001,MED003,114,70,490
2026-06-29,PHC001,MED003,95,70,490
2026-06-30,PHC001,MED003,84,70,490
2026-07-01,PHC001,MED003,71,70,490
2026-07-02,PHC001,MED003,60,70,490
2026-07-03,PHC001,MED003,45,70,490
2026-07-04,PHC001,MED003,36,70,490
2026-07-05,PHC001,MED003,29,70,490
2026-07-06,PHC001,MED003,19,70,490
2026-07-07,PHC001,MED003,3,70,490
2026-07-08,PHC001,MED003,0,70,490
2026-07-09,PHC001,MED003,418,70,490
2026-07-10,PHC001,MED003,408,70,490
2026-07-11,PHC001,MED003,395,70,490
2026-07-12,PHC001,MED003,387,70,490
2026-07-13,PHC001,MED003,374,70,490
2026-07-14,PHC001,MED003,365,70,490
2026-07-15,PHC001,MED003,356,70,490
2026-07-16,PHC001,MED003,343,70,490
2026-07-17,PHC001,MED003,331,70,490
2026-07-18,PHC001,MED003,319,70,490
2026-07-19,PHC001,MED003,312,70,490
2026-07-20,PHC001,MED003,302,70,490
2026-07-21,PHC001,MED003,290,70,490
2026-07-22,PHC001,MED003,280,70,490
2026-07-23,PHC001,MED003,269,70,490
2026-07-24,PHC001,MED003,257,70,490
2026-07-25,PHC001,MED003,245,70,490
2026-07-26,PHC001,MED003,239,70,490
2026-07-27,PHC001,MED003,219,70,490
2026-07-28,PHC001,MED003,207,70,490
2026-07-29,PHC001,MED003,197,70,490
2026-07-30,PHC001,MED003,191,70,490
2026-07-31,PHC001,MED003,180,70,490
2026-08-01,PHC001,MED003,166,70,490
2026-08-02,PHC001,MED003,156,70,490
2026-08-03,PHC001,MED003,140,70,490
2026-08-04,PHC001,MED003,128,70,490
2026-08-05,PHC001,MED003,117,70,490
2026-08-06,PHC001,MED003,101,70,490
2026-08-07,PHC001,MED003,91,70,490
2026-08-08,PHC001,MED003,77,70,490
2026-08-09,PHC001,MED003,69,70,490
2026-08-10,PHC001,MED003,52,70,490
2026-08-11,PHC001,MED003,43,70,490
2026-08-12,PHC001,MED003,28,70,490
2026-08-13,PHC001,MED003,16,70,490
2026-08-14,PHC001,MED003,4,70,490
2026-08-15,PHC001,MED003,0,70,490
2026-08-16,PHC001,MED003,409,70,490
2026-08-17,PHC001,MED003,395,70,490
2026-08-18,PHC001,MED003,382,70,490
2026-08-19,PHC001,MED003,368,70,490
2026-08-20,PHC001,MED003,355,70,490
2026-08-21,PHC001,MED003,339,70,490
2026-08-22,PHC001,MED003,327,70,490
2026-08-23,PHC001,MED003,317,70,490
2026-08-24,PHC001,MED003,303,70,490
2026-08-25,PHC001,MED003,291,70,490
2026-08-26,PHC001,MED003,274,70,490
2026-08-27,PHC001,MED003,258,70,490
2026-03-01,PHC001,MED004,55,14,98
2026-03-02,PHC001,MED004,52,14,98
2026-03-03,PHC001,MED004,49,14,98
2026-03-04,PHC001,MED004,47,14,98
2026-03-05,PHC001,MED004,45,14,98
2026-03-06,PHC001,MED004,43,14,98
2026-03-07,PHC001,MED004,40,14,98
2026-03-08,PHC001,MED004,38,14,98
2026-03-09,PHC001,MED004,35,14,98
2026-03-10,PHC001,MED004,34,14,98
2026-03-11,PHC001,MED004,32,14,98
2026-03-12,PHC001,MED004,30,14,98
2026-03-13,PHC001,MED004,27,14,98
2026-03-14,PHC001,MED004,24,14,98
2026-03-15,PHC001,MED004,23,14,98
2026-03-16,PHC001,MED004,20,14,98
2026-03-17,PHC001,MED004,19,14,98
2026-03-18,PHC001,MED004,17,14,98
2026-03-19,PHC001,MED004,15,14,98
2026-03-20,PHC001,MED004,13,14,98
2026-03-21,PHC001,MED004,11,14,98
2026-03-22,PHC001,MED004,9,14,98
2026-03-23,PHC001,MED004,7,14,98
2026-03-24,PHC001,MED004,4,14,98
2026-03-25,PHC001,MED004,86,14,98
2026-03-26,PHC001,MED004,84,14,98
2026-03-27,PHC001,MED004,81,14,98
2026-03-28,PHC001,MED004,78,14,98
2026-03-29,PHC001,MED004,77,14,98
2026-03-30,PHC001,MED004,74,14,98
2026-03-31,PHC001,MED004,71,14,98
2026-04-01,PHC001,MED004,68,14,98
2026-04-02,PHC001,MED004,65,14,98
2026-04-03,PHC001,MED004,63,14,98
2026-04-04,PHC001,MED004,61,14,98
2026-04-05,PHC001,MED004,59,14,98
2026-04-06,PHC001,MED004,56,14,98
2026-04-07,PHC001,MED004,54,14,98
2026-04-08,PHC001,MED004,51,14,98
2026-04-09,PHC001,MED004,48,14,98
2026-04-10,PHC001,MED004,46,14,98
2026-04-11,PHC001,MED004,43,14,98
2026-04-12,PHC001,MED004,41,14,98
2026-04-13,PHC001,MED004,37,14,98
2026-04-14,PHC001,MED004,34,14,98
2026-04-15,PHC001,MED004,32,14,98
2026-04-16,PHC001,MED004,29,14,98
2026-04-17,PHC001,MED004,26,14,98
2026-04-18,PHC001,MED004,23,14,98
