phc_id,state,district,subdistrict,name,latitude,longitude,is_active,beds,doctors,nurses
PHCR000001,A & N Islands,Nicobar,Great Nicobar (Campbell Bay),PHC Campbell Bay,6.98522,93.84627,False,,,
PHCR000002,A & N Islands,Nicobar,Great Nicobar (Campbell Bay),PHC Gandhinagar,6.98523,93.84628,False,,,
PHCR000003,A & N Islands,Nicobar,Nancowry,PHC Katchal,7.92438,93.40207,False,,,
PHCR000004,A & N Islands,Nicobar,Nancowry,PHC Teressa,7.96108,93.55889,False,,,
PHCR000005,A & N Islands,South Andaman,Little Andaman,PHC R K Pur,10.70112,92.47363,False,,,
PHCR000006,A & N Islands,South Andaman,Little Andaman,PHC Hut Bay,10.70116,92.47367,False,,,
PHCR000007,A & N Islands,South Andaman,Ferrargunj,PHC Manglutan,11.60279,92.66471,False,,,
PHCR000008,A & N Islands,South Andaman,Ferrargunj,PHC Chouldari,11.60279,92.66471,False,,,
PHCR000009,A & N Islands,South Andaman,Ferrargunj,PHC Tushnabad,11.60281,92.66473,False,,,
PHCR000010,A & N Islands,South Andaman,Port Blair,PHC Neil Island,11.62719,92.70317,False,,,
PHCR000011,A & N Islands,South Andaman,Port Blair,UHC Shadipur,11.6589225,92.7474876,False,,,
PHCR000012,A & N Islands,South Andaman,Port Blair,UHC Junglighat,11.661875,92.730446,False,,,
PHCR000013,A & N Islands,South Andaman,Port Blair,UHC Delanipur,11.678023,92.72151,False,,,
PHCR000014,A & N Islands,South Andaman,Port Blair,UHC Haddo,11.678023,92.72151,False,,,
PHCR000015,A & N Islands,South Andaman,Ferrargunj,PHC Wimberlygunj,11.73032,92.65005,False,,,
PHCR000016,A & N Islands,South Andaman,Port Blair,PHC Havelock,11.9968,92.99096,False,,,
PHCR000017,A & N Islands,South Andaman,Ferrargunj,PHC Ferrargunj,12.00999,92.6301,False,,,
PHCR000018,A & N Islands,North and Middle Andaman,Mayabunder,PHC Billiground,12.628,92.82398,False,,,
PHCR000019,A & N Islands,North and Middle Andaman,Rangat,PHC Baratang,12.62802,92.82399,False,,,
PHCR000020,A & N Islands,North and Middle Andaman,Rangat,PHC Kadamtala,12.68803,92.8118,False,,,
PHCR000021,A & N Islands,North and Middle Andaman,Mayabunder,PHC Tugapur,13.02954,92.84843,False,,,
PHCR000022,A & N Islands,North and Middle Andaman,Diglipur,PHC Kalighat,13.30683,92.94111,False,,,
PHCR000023,A & N Islands,North and Middle Andaman,Diglipur,PHC Radha Nagar,13.30683,92.94111,False,,,
PHCR000024,A & N Islands,North and Middle Andaman,Diglipur,PHC Kishori Nagar,13.30686,92.94114,False,,,
PHCR000025,Andhra Pradesh,Chittoor,Kuppam,Mallanur,12.662023,78.402736,False,,,
PHCR000026,Andhra Pradesh,Chittoor,Puttur,Sri Ranga Raja Puram,12.7024,78.47318,False,,,
PHCR000027,Andhra Pradesh,Chittoor,Puttur,Arimakula Palli,12.70248,78.47326,False,,,
PHCR000028,Andhra Pradesh,Chittoor,Bangarupalem,Thumbakuppam,12.70287,78.37381,False,,,
PHCR000029,Andhra Pradesh,Chittoor,Kuppam,Kangondi,12.71099,78.34146,False,,,
PHCR000030,Andhra Pradesh,Chittoor,Kuppam,Gudupalle,12.747031,78.333016,False,,,
